Count,sender,receiver,amount,currency,Mt,year,direction,category,send region,receiver region,mx/mt,transaction_status,payment_method
188,Morgan Stanley,Abu Dhabi Commercial Bank,14225.12,USD,MT103,2020,Outgoing,Trade Finance,South Asia,Middle East,MT,Completed,Wire Transfer
189,JPMorgan Chase,Mashreq Bank,19202.75,EUR,MT760,2018,Outgoing,Loan Disbursement,Southeast Asia,Middle East,MT,Failed,ACH
190,Dubai Islamic Bank,Sharjah Islamic Bank,16266.01,EUR,MT760,2023,Incoming,Trade Finance,North America,Middle East,MT,Completed,SWIFT
191,Barclays,United Arab Bank,2362.71,GBP,MT940,2015,Outgoing,Interbank Settlement,Africa,Middle East,MT,Completed,Wire Transfer
192,Abu Dhabi Commercial Bank,Bank of China,2278.12,USD,MT799,2021,Incoming,Corporate Payment,Europe,Caribbean,MT,Completed,Wire Transfer
193,Standard Chartered,Dubai Islamic Bank,27550.22,USD,MT799,2023,Outgoing,Retail Payment,Africa,Middle East,MT,Completed,Wire Transfer
194,Goldman Sachs,National Bank of Umm Al Qaiwain,10758.81,USD,MT799,2022,Incoming,FX Settlement,Europe,Middle East,MT,Completed,Wire Transfer
195,BNP Paribas,RAK Bank,706.94,GBP,MT760,2018,Outgoing,FX Settlement,Middle East,Middle East,MT,Completed,Wire Transfer
196,UBS,National Bank of Umm Al Qaiwain,1354505.77,GBP,MT202,2021,Outgoing,Trade Finance,Caribbean,Middle East,MT,Completed,Wire Transfer
197,Deutsche Bank,Mashreq Bank,18877.65,USD,MT202,2021,Incoming,Loan Disbursement,Central Asia,Middle East,MT,Completed,Wire Transfer
198,Barclays,Mashreq Bank,15869.06,GBP,MT700,2015,Outgoing,FX Settlement,Africa,Africa,MT,Completed,ACH
199,Credit Suisse,Sharjah Islamic Bank,3741.64,GBP,MT940,2018,Outgoing,Trade Finance,South Asia,Middle East,MT,Pending,SWIFT
200,First Abu Dhabi Bank,Credit Suisse,9676.64,EUR,MT103,2023,Outgoing,Interbank Settlement,Europe,Latin America,MT,Completed,ACH
201,Dubai Islamic Bank,Dubai Islamic Bank,388703.39,AED,MT103,2019,Outgoing,Retail Payment,North America,Middle East,MT,Completed,Wire Transfer
202,Bank of Tokyo-Mitsubishi UFJ,Abu Dhabi Islamic Bank,51788.61,USD,MT940,2017,Outgoing,Interbank Settlement,Southeast Asia,Middle East,MT,Completed,Wire Transfer
203,Royal Bank of Canada,First Abu Dhabi Bank,4978.64,USD,MT103,2023,Outgoing,Interbank Settlement,Latin America,Middle East,MT,Pending,Cash
204,JPMorgan Chase,RAK Bank,653.43,GBP,MT202,2019,Incoming,Investment,South Asia,Middle East,MT,Completed,ACH
205,Barclays,Abu Dhabi Commercial Bank,11143.74,USD,MT760,2017,Outgoing,Corporate Payment,Africa,Middle East,MT,Pending,Cash
206,Bank of America,United Arab Bank,78455.65,AED,MT910,2017,Incoming,Corporate Payment,Africa,Middle East,MT,Completed,Wire Transfer
207,Bank of China,Mashreq Bank,15077.69,CNY,MT940,2017,Incoming,Treasury Operations,Latin America,Middle East,MT,Completed,ACH
208,Dubai Islamic Bank,Dubai Islamic Bank,39661.13,USD,MT760,2023,Incoming,Retail Payment,Asia Pacific,Middle East,MT,Completed,ACH
209,UBS,Dubai Islamic Bank,7515.33,AUD,MT202,2022,Outgoing,Investment,Caribbean,Middle East,MT,Completed,Wire Transfer
210,UBS,Abu Dhabi Islamic Bank,193978.18,EUR,MT940,2020,Outgoing,FX Settlement,North America,Middle East,MT,Completed,ACH
211,UBS,RAK Bank,78490.66,AED,MT103,2023,Incoming,FX Settlement,Southeast Asia,Middle East,MT,Completed,ACH
212,First Abu Dhabi Bank,Abu Dhabi Islamic Bank,37837.38,GBP,MT799,2023,Incoming,Interbank Settlement,South Asia,Middle East,MT,Completed,Wire Transfer
213,Mashreq Bank,UBS,123516.45,CHF,MT950,2017,Outgoing,Corporate Payment,Africa,South Asia,MT,Completed,Wire Transfer
214,Goldman Sachs,Dubai Islamic Bank,11921.81,EUR,MT202,2015,Outgoing,Corporate Payment,Asia Pacific,Middle East,MT,Completed,SWIFT
215,Citibank,Abu Dhabi Islamic Bank,13613.17,AED,MT202,2020,Outgoing,Loan Disbursement,Africa,Middle East,MT,Completed,Mobile Payment
216,Bank of China,Mashreq Bank,26292.76,GBP,MT760,2016,Outgoing,FX Settlement,Southeast Asia,Middle East,MT,Completed,Wire Transfer
217,First Abu Dhabi Bank,National Bank of Fujairah,35297.78,USD,MT799,2022,Incoming,Retail Payment,Southeast Asia,Middle East,MT,Completed,Wire Transfer
218,BNP Paribas,National Bank of Fujairah,16468.3,GBP,MT940,2020,Incoming,Interbank Settlement,Asia Pacific,Middle East,MT,Completed,Wire Transfer
219,Deutsche Bank,Sharjah Islamic Bank,28386.99,USD,MT799,2019,Outgoing,Interbank Settlement,Asia Pacific,Middle East,MT,Completed,SWIFT
220,Citibank,United Arab Bank,32123.93,USD,MT940,2021,Incoming,Treasury Operations,North America,Middle East,MT,Cancelled,Wire Transfer
221,Standard Chartered,First Abu Dhabi Bank,42584.9,GBP,MT760,2016,Outgoing,Corporate Payment,Asia Pacific,Latin America,MT,Completed,Credit Card
222,HSBC,Abu Dhabi Islamic Bank,2132.55,USD,MT910,2017,Outgoing,Retail Payment,Europe,Middle East,MT,Completed,Wire Transfer
223,Morgan Stanley,RAK Bank,6390.37,CAD,MT799,2022,Outgoing,Loan Disbursement,South Asia,Middle East,MT,Completed,Wire Transfer
224,UBS,National Bank of Fujairah,102986.33,AED,MT760,2020,Outgoing,FX Settlement,Central Asia,Middle East,MT,Pending,ACH
225,Bank of China,First Abu Dhabi Bank,4279.24,SGD,MT950,2021,Incoming,Interbank Settlement,North America,Central Asia,MT,Completed,Check
226,Royal Bank of Canada,Morgan Stanley,13703.24,USD,MT950,2023,Outgoing,FX Settlement,North America,Caribbean,MT,Completed,ACH
227,Abu Dhabi Commercial Bank,Commercial Bank of Dubai,14239.73,USD,MT103,2021,Outgoing,Corporate Payment,South Asia,Middle East,MT,Pending,ACH
228,Emirates NBD,First Abu Dhabi Bank,11947.36,USD,MT940,2018,Incoming,Interbank Settlement,Europe,Middle East,MT,Completed,Credit Card
229,JPMorgan Chase,Commercial Bank of Dubai,3211115.0,JPY,MT202,2017,Incoming,Loan Disbursement,North America,Middle East,MT,Completed,Wire Transfer
230,Wells Fargo,First Abu Dhabi Bank,16481.47,GBP,MT202,2019,Incoming,Investment,Latin America,Middle East,MT,Completed,Cash
231,BNP Paribas,Dubai Islamic Bank,9707.07,USD,MT700,2016,Incoming,Retail Payment,Europe,Middle East,MT,Completed,Wire Transfer
232,Wells Fargo,UBS,81559.17,EUR,MT799,2020,Incoming,Trade Finance,Middle East,Southeast Asia,MT,Completed,SWIFT
233,Citibank,Commercial Bank of Dubai,10153.93,CAD,MT910,2020,Outgoing,Treasury Operations,Africa,Middle East,MT,Completed,ACH
234,Royal Bank of Canada,Abu Dhabi Commercial Bank,75746.32,EUR,MT940,2019,Incoming,Treasury Operations,Middle East,Middle East,MT,Completed,Wire Transfer
235,Deutsche Bank,United Arab Bank,218846.59,USD,MT700,2016,Outgoing,Retail Payment,Europe,Middle East,MT,Pending,Cash
236,HSBC,United Arab Bank,502994.46,AED,MT940,2023,Incoming,Loan Disbursement,South Asia,Middle East,MT,Completed,Wire Transfer
237,Credit Suisse,First Abu Dhabi Bank,5206.51,GBP,MT103,2020,Incoming,Interbank Settlement,Caribbean,Middle East,MT,Completed,Wire Transfer
238,Standard Chartered,Abu Dhabi Islamic Bank,9502.57,USD,MT799,2016,Incoming,Interbank Settlement,Latin America,Middle East,MT,Completed,ACH
239,Standard Chartered,Dubai Islamic Bank,288309.72,USD,MT700,2015,Incoming,Investment,Caribbean,Middle East,MT,Completed,Wire Transfer
240,Bank of Tokyo-Mitsubishi UFJ,Mashreq Bank,4495.9,USD,MT202,2021,Incoming,Retail Payment,Africa,Middle East,MT,Completed,ACH
241,Mashreq Bank,Mashreq Bank,8251.2,EUR,MT103,2019,Outgoing,Treasury Operations,Southeast Asia,Middle East,MT,Completed,Wire Transfer
242,Royal Bank of Canada,Mashreq Bank,145495.09,AED,MT799,2020,Incoming,Interbank Settlement,North America,Middle East,MT,Completed,Wire Transfer
243,Emirates NBD,Mashreq Bank,3679.05,USD,MT760,2022,Incoming,FX Settlement,Asia Pacific,Middle East,MT,Completed,Wire Transfer
244,Morgan Stanley,Commercial Bank of Dubai,20740.99,USD,MT202,2015,Outgoing,Trade Finance,South Asia,Middle East,MT,Completed,Wire Transfer
245,Credit Suisse,National Bank of Fujairah,8880.18,USD,MT202,2023,Incoming,Corporate Payment,Central Asia,Middle East,MT,Completed,ACH
246,Emirates NBD,Abu Dhabi Islamic Bank,255590.67,GBP,MT700,2019,Incoming,FX Settlement,North America,Middle East,MT,Completed,SWIFT
247,First Abu Dhabi Bank,First Abu Dhabi Bank,8897.2,USD,MT940,2019,Outgoing,Trade Finance,Asia Pacific,Middle East,MT,Completed,Mobile Payment
248,Industrial and Commercial Bank of China,Mashreq Bank,16709.87,EUR,MT950,2018,Incoming,Loan Disbursement,Middle East,Middle East,MT,Completed,Check
249,Mashreq Bank,First Abu Dhabi Bank,4580.82,USD,MT799,2023,Outgoing,Investment,Latin America,Middle East,MT,Failed,Wire Transfer
250,UBS,Deutsche Bank,49265.49,USD,MT950,2016,Incoming,Trade Finance,South Asia,North America,MT,Completed,ACH
251,Wells Fargo,First Abu Dhabi Bank,123248.88,AED,MT103,2018,Outgoing,Corporate Payment,Caribbean,Middle East,MT,Completed,Wire Transfer
252,Wells Fargo,Sharjah Islamic Bank,20166.14,AED,MT760,2018,Outgoing,FX Settlement,Europe,Middle East,MT,Completed,Wire Transfer
253,Royal Bank of Canada,National Bank of Umm Al Qaiwain,31099.02,USD,MT950,2020,Outgoing,Investment,Southeast Asia,Middle East,MT,Completed,ACH
254,Bank of Tokyo-Mitsubishi UFJ,Dubai Islamic Bank,5639.48,USD,MT799,2018,Incoming,FX Settlement,Asia Pacific,Middle East,MT,Completed,Wire Transfer
255,Royal Bank of Canada,JPMorgan Chase,11075.75,EUR,MT799,2019,Outgoing,Investment,Africa,Central Asia,MT,Pending,Wire Transfer
256,Dubai Islamic Bank,Barclays,50222.19,USD,MT950,2021,Outgoing,FX Settlement,Latin America,Central Asia,MT,Completed,Mobile Payment
257,Bank of Tokyo-Mitsubishi UFJ,First Abu Dhabi Bank,35729.65,USD,MT202,2020,Outgoing,Loan Disbursement,Asia Pacific,Europe,MT,Completed,ACH
258,Abu Dhabi Commercial Bank,Commercial Bank of Dubai,6727.67,EUR,MT799,2021,Outgoing,FX Settlement,Asia Pacific,Middle East,MT,Completed,ACH
259,Goldman Sachs,Abu Dhabi Islamic Bank,51140.42,GBP,MT950,2019,Outgoing,Loan Disbursement,Central Asia,Middle East,MT,Completed,Wire Transfer
260,Bank of China,RAK Bank,39016.41,USD,MT799,2017,Outgoing,Trade Finance,Middle East,Middle East,MT,Completed,Wire Transfer
261,UBS,Abu Dhabi Commercial Bank,119513.66,AED,MT940,2019,Outgoing,Retail Payment,Europe,Middle East,MT,Completed,Cash
262,First Abu Dhabi Bank,National Bank of Fujairah,2290.95,EUR,MT910,2023,Incoming,Corporate Payment,Southeast Asia,Middle East,MT,Completed,Wire Transfer
263,Industrial and Commercial Bank of China,National Bank of Fujairah,18371.9,USD,MT700,2019,Outgoing,Loan Disbursement,Latin America,Middle East,MT,Completed,ACH
264,Standard Chartered,Bank of America,151674.24,AED,MT950,2019,Incoming,Retail Payment,Southeast Asia,Africa,MT,Completed,Wire Transfer
265,Royal Bank of Canada,Commercial Bank of Dubai,8198.52,AED,MT760,2022,Outgoing,Loan Disbursement,Caribbean,Middle East,MT,Completed,ACH
266,Dubai Islamic Bank,First Abu Dhabi Bank,146367.54,USD,MT950,2016,Incoming,Loan Disbursement,Middle East,Middle East,MT,Failed,Wire Transfer
267,HSBC,Abu Dhabi Commercial Bank,13911.48,USD,MT940,2016,Incoming,Retail Payment,Latin America,Middle East,MT,Completed,Check
268,Abu Dhabi Commercial Bank,Sharjah Islamic Bank,89195.2,AED,MT940,2020,Incoming,FX Settlement,Asia Pacific,Middle East,MT,Completed,Check
269,Bank of America,Abu Dhabi Islamic Bank,5904.89,USD,MT103,2021,Outgoing,Interbank Settlement,South Asia,Middle East,MT,Completed,SWIFT
270,First Abu Dhabi Bank,Citibank,53426.29,GBP,MT760,2021,Incoming,Loan Disbursement,Latin America,North America,MT,Pending,Wire Transfer
271,Emirates NBD,BNP Paribas,37580.87,USD,MT700,2017,Outgoing,Investment,Latin America,Southeast Asia,MT,Failed,Check
272,Industrial and Commercial Bank of China,United Arab Bank,23694.83,USD,MT799,2018,Outgoing,Corporate Payment,Asia Pacific,Middle East,MT,Completed,ACH
273,Goldman Sachs,Mashreq Bank,46487.85,AED,MT202,2021,Incoming,Treasury Operations,Middle East,Middle East,MT,Completed,Wire Transfer
274,Bank of America,Abu Dhabi Islamic Bank,40241.61,CHF,MT700,2023,Outgoing,FX Settlement,South Asia,Middle East,MT,Completed,ACH
275,Credit Suisse,Commercial Bank of Dubai,10976.58,USD,MT760,2021,Incoming,Trade Finance,Middle East,Middle East,MT,Completed,Wire Transfer
276,Abu Dhabi Commercial Bank,Sharjah Islamic Bank,13106.63,USD,MT760,2022,Outgoing,Retail Payment,Caribbean,Middle East,MT,Completed,Wire Transfer
277,UBS,Industrial and Commercial Bank of China,125534.12,USD,MT103,2021,Outgoing,Interbank Settlement,Central Asia,Caribbean,MT,Completed,SWIFT
278,Wells Fargo,Sharjah Islamic Bank,13076.03,EUR,MT799,2015,Incoming,Corporate Payment,North America,Middle East,MT,Completed,Wire Transfer
279,Deutsche Bank,Bank of China,37306.89,USD,MT950,2017,Outgoing,Treasury Operations,Southeast Asia,Europe,MT,Completed,ACH
280,Dubai Islamic Bank,Standard Chartered,277850.97,USD,MT700,2016,Outgoing,Corporate Payment,Africa,Latin America,MT,Completed,Wire Transfer
281,Goldman Sachs,First Abu Dhabi Bank,24834.52,USD,MT103,2018,Outgoing,Corporate Payment,Africa,Middle East,MT,Pending,Cash
282,UBS,National Bank of Fujairah,3711807.0,JPY,MT940,2015,Outgoing,Trade Finance,Central Asia,Middle East,MT,Completed,Credit Card
283,HSBC,National Bank of Umm Al Qaiwain,51889.91,AED,MT103,2019,Incoming,Investment,Latin America,Middle East,MT,Completed,Cash
284,UBS,Bank of Tokyo-Mitsubishi UFJ,27680.22,CNY,MT950,2019,Outgoing,Corporate Payment,Southeast Asia,Latin America,MT,Completed,Wire Transfer
285,Bank of China,First Abu Dhabi Bank,55755.5,USD,MT950,2021,Incoming,Interbank Settlement,Southeast Asia,Middle East,MT,Completed,Wire Transfer
286,Goldman Sachs,Industrial and Commercial Bank of China,48226219.0,JPY,MT202,2020,Outgoing,Interbank Settlement,Middle East,Central Asia,MT,Completed,ACH
287,Barclays,Mashreq Bank,5109.95,USD,MT799,2018,Outgoing,FX Settlement,Southeast Asia,Middle East,MT,Completed,Wire Transfer
288,Industrial and Commercial Bank of China,HSBC,43881.41,USD,MT700,2019,Incoming,Interbank Settlement,North America,Southeast Asia,MT,Failed,Wire Transfer
289,JPMorgan Chase,Commercial Bank of Dubai,6600.85,USD,MT700,2015,Outgoing,Treasury Operations,Asia Pacific,Middle East,MT,Completed,ACH
290,Abu Dhabi Commercial Bank,Sharjah Islamic Bank,902.38,USD,MT760,2017,Incoming,Trade Finance,Middle East,Middle East,MT,Completed,ACH
291,Barclays,Abu Dhabi Islamic Bank,397331.0,JPY,MT202,2019,Incoming,Interbank Settlement,Middle East,Middle East,MT,Completed,Credit Card
292,HSBC,Abu Dhabi Islamic Bank,36889.57,GBP,MT799,2018,Outgoing,Retail Payment,Europe,Middle East,MT,Completed,Wire Transfer
293,Deutsche Bank,Emirates NBD,11618.56,USD,MT950,2020,Incoming,FX Settlement,Africa,Middle East,MT,Completed,Wire Transfer
294,Deutsche Bank,Commercial Bank of Dubai,2519733.0,JPY,MT103,2016,Incoming,Retail Payment,Caribbean,Middle East,MT,Completed,Wire Transfer
295,First Abu Dhabi Bank,Bank of Tokyo-Mitsubishi UFJ,5520.54,SGD,MT202,2021,Outgoing,Retail Payment,Caribbean,Latin America,MT,Completed,Mobile Payment
296,Standard Chartered,National Bank of Fujairah,128103.08,USD,MT760,2023,Outgoing,Interbank Settlement,Europe,Middle East,MT,Completed,SWIFT
297,Standard Chartered,First Abu Dhabi Bank,134311.54,AED,MT202,2023,Incoming,Retail Payment,South Asia,Middle East,MT,Completed,Check
298,Mashreq Bank,National Bank of Umm Al Qaiwain,12020.62,EUR,MT799,2023,Incoming,Corporate Payment,Latin America,Middle East,MT,Completed,Mobile Payment
299,Bank of China,Bank of Tokyo-Mitsubishi UFJ,26982.12,EUR,MT202,2016,Outgoing,Retail Payment,Europe,South Asia,MT,Completed,ACH
300,Bank of China,Commercial Bank of Dubai,40601.28,AED,MT760,2021,Outgoing,Investment,Asia Pacific,Middle East,MT,Completed,ACH
301,Bank of China,Abu Dhabi Commercial Bank,132192.07,USD,MT940,2018,Incoming,Trade Finance,Middle East,Middle East,MT,Completed,Wire Transfer
302,Barclays,Abu Dhabi Islamic Bank,4096.67,USD,MT940,2021,Outgoing,Interbank Settlement,Southeast Asia,Middle East,MT,Completed,ACH
303,Deutsche Bank,Mashreq Bank,4761303.0,JPY,MT940,2018,Outgoing,Retail Payment,Europe,Middle East,MT,Pending,ACH
304,Deutsche Bank,United Arab Bank,28835.79,USD,MT700,2018,Outgoing,Corporate Payment,Central Asia,Middle East,MT,Completed,ACH
305,Dubai Islamic Bank,Dubai Islamic Bank,4490.44,EUR,MT940,2023,Incoming,Retail Payment,Middle East,Middle East,MT,Completed,Mobile Payment
306,Barclays,RAK Bank,13968.71,USD,MT910,2021,Outgoing,Investment,South Asia,Middle East,MT,Failed,Credit Card
307,Goldman Sachs,First Abu Dhabi Bank,66717.04,USD,MT940,2022,Incoming,Loan Disbursement,South Asia,Middle East,MT,Completed,SWIFT
308,Goldman Sachs,Dubai Islamic Bank,55439.7,USD,MT910,2016,Outgoing,Treasury Operations,Middle East,Middle East,MT,Completed,SWIFT
309,Credit Suisse,Emirates NBD,1107.3,EUR,MT700,2017,Outgoing,Retail Payment,South Asia,Middle East,MT,Completed,SWIFT
310,Bank of America,National Bank of Umm Al Qaiwain,1412355.0,JPY,MT103,2021,Outgoing,Investment,Latin America,Middle East,MT,Completed,Wire Transfer
311,Bank of China,Wells Fargo,67238.96,EUR,MT799,2016,Outgoing,FX Settlement,Middle East,Asia Pacific,MT,Completed,Wire Transfer
312,Abu Dhabi Commercial Bank,Emirates NBD,28952.56,AED,MT103,2023,Outgoing,Trade Finance,Middle East,Middle East,MT,Completed,SWIFT
313,HSBC,Citibank,381.9,USD,MT760,2023,Incoming,Loan Disbursement,South Asia,South Asia,MT,Completed,SWIFT
314,Morgan Stanley,Commercial Bank of Dubai,45666.98,GBP,MT700,2019,Incoming,Interbank Settlement,South Asia,Middle East,MT,Completed,Wire Transfer
315,Bank of America,Abu Dhabi Islamic Bank,5175.82,USD,MT799,2023,Outgoing,Investment,Europe,Middle East,MT,Pending,Mobile Payment
316,Credit Suisse,Emirates NBD,23045.88,USD,MT910,2018,Incoming,Investment,South Asia,Middle East,MT,Completed,Wire Transfer
317,Abu Dhabi Commercial Bank,Commercial Bank of Dubai,15830.73,USD,MT700,2019,Incoming,Treasury Operations,Middle East,Middle East,MT,Pending,Wire Transfer
318,First Abu Dhabi Bank,Commercial Bank of Dubai,99051.0,JPY,MT103,2018,Incoming,FX Settlement,Middle East,Middle East,MT,Completed,SWIFT
319,BNP Paribas,Mashreq Bank,2499.72,USD,MT910,2019,Incoming,Trade Finance,South Asia,Middle East,MT,Completed,Wire Transfer
320,Industrial and Commercial Bank of China,Credit Suisse,13696.15,USD,MT700,2019,Outgoing,Loan Disbursement,Caribbean,North America,MT,Completed,Wire Transfer
321,First Abu Dhabi Bank,Emirates NBD,68676.29,USD,MT950,2022,Incoming,Retail Payment,Central Asia,Asia Pacific,MT,Completed,Wire Transfer
322,Royal Bank of Canada,First Abu Dhabi Bank,70924.29,AED,MT940,2018,Incoming,Corporate Payment,Africa,North America,MT,Completed,SWIFT
323,Dubai Islamic Bank,Abu Dhabi Islamic Bank,74314.06,USD,MT760,2015,Incoming,Corporate Payment,Europe,Middle East,MT,Completed,ACH
324,Citibank,Dubai Islamic Bank,49156.3,USD,MT700,2022,Outgoing,Interbank Settlement,Central Asia,Middle East,MT,Completed,SWIFT
325,Citibank,First Abu Dhabi Bank,35603.67,GBP,MT103,2020,Incoming,Corporate Payment,Asia Pacific,Asia Pacific,MT,Pending,ACH
326,UBS,Abu Dhabi Commercial Bank,17112.04,USD,MT103,2021,Outgoing,Loan Disbursement,Asia Pacific,Middle East,MT,Completed,Wire Transfer
327,Royal Bank of Canada,Abu Dhabi Commercial Bank,150715.37,SGD,MT202,2016,Outgoing,Trade Finance,Asia Pacific,Middle East,MT,Completed,Credit Card
328,First Abu Dhabi Bank,Sharjah Islamic Bank,26246.92,CHF,MT910,2016,Outgoing,Loan Disbursement,South Asia,Middle East,MT,Completed,Wire Transfer
329,Deutsche Bank,National Bank of Umm Al Qaiwain,90164.78,EUR,MT799,2021,Outgoing,Trade Finance,Africa,Middle East,MT,Completed,Credit Card
330,Abu Dhabi Commercial Bank,HSBC,11320.69,EUR,MT760,2016,Outgoing,Trade Finance,Caribbean,Asia Pacific,MT,Completed,ACH
331,Bank of China,Sharjah Islamic Bank,14637.74,USD,MT950,2018,Outgoing,Corporate Payment,Central Asia,Middle East,MT,Completed,Credit Card
332,BNP Paribas,Dubai Islamic Bank,19685.42,USD,MT103,2021,Outgoing,Loan Disbursement,Middle East,Middle East,MT,Completed,Wire Transfer
333,UBS,National Bank of Umm Al Qaiwain,126492.91,EUR,MT103,2022,Incoming,FX Settlement,Africa,Middle East,MT,Cancelled,ACH
334,Bank of China,Dubai Islamic Bank,8866.89,EUR,MT910,2023,Outgoing,Loan Disbursement,Middle East,Middle East,MT,Completed,Wire Transfer
335,Wells Fargo,Mashreq Bank,4137.63,USD,MT910,2015,Incoming,Retail Payment,Southeast Asia,Middle East,MT,Completed,Wire Transfer
336,Deutsche Bank,United Arab Bank,25502.04,USD,MT799,2016,Incoming,Corporate Payment,Africa,Middle East,MT,Completed,ACH
337,Standard Chartered,Emirates NBD,430.23,SGD,MT103,2017,Outgoing,Treasury Operations,Middle East,Latin America,MT,Completed,Wire Transfer
338,Bank of China,Commercial Bank of Dubai,3000.32,EUR,MT799,2020,Outgoing,Trade Finance,Europe,Middle East,MT,Completed,ACH
339,Royal Bank of Canada,United Arab Bank,42205.33,AED,MT799,2020,Outgoing,Corporate Payment,North America,Middle East,MT,Completed,Wire Transfer
340,Abu Dhabi Commercial Bank,Mashreq Bank,101710.61,CAD,MT940,2020,Incoming,Retail Payment,North America,Middle East,MT,Pending,Wire Transfer
341,JPMorgan Chase,Abu Dhabi Commercial Bank,495.01,SGD,MT760,2017,Incoming,FX Settlement,Latin America,Middle East,MT,Completed,SWIFT
342,Goldman Sachs,Mashreq Bank,52637.56,AED,MT950,2019,Incoming,Treasury Operations,North America,Middle East,MT,Completed,ACH
343,Bank of Tokyo-Mitsubishi UFJ,First Abu Dhabi Bank,27568.36,EUR,MT910,2023,Outgoing,Loan Disbursement,Latin America,Middle East,MT,Pending,ACH
344,Emirates NBD,Abu Dhabi Islamic Bank,4772.65,USD,MT103,2015,Incoming,Interbank Settlement,South Asia,Middle East,MT,Completed,ACH
345,Abu Dhabi Commercial Bank,Deutsche Bank,22655.78,USD,MT760,2023,Incoming,Investment,Caribbean,North America,MT,Completed,Check
346,Deutsche Bank,United Arab Bank,58721.89,USD,MT950,2022,Outgoing,Loan Disbursement,South Asia,Middle East,MT,Completed,Wire Transfer
347,Industrial and Commercial Bank of China,First Abu Dhabi Bank,15955.98,EUR,MT940,2022,Outgoing,Loan Disbursement,Middle East,Middle East,MT,Completed,SWIFT
348,JPMorgan Chase,Industrial and Commercial Bank of China,92293.7,USD,MT799,2023,Outgoing,Trade Finance,North America,Southeast Asia,MT,Completed,Credit Card
349,Barclays,First Abu Dhabi Bank,4215.74,USD,MT940,2019,Incoming,Treasury Operations,Caribbean,Middle East,MT,Completed,SWIFT
350,Bank of Tokyo-Mitsubishi UFJ,Commercial Bank of Dubai,22591.13,AED,MT910,2021,Incoming,Corporate Payment,Africa,Middle East,MT,Completed,ACH
351,HSBC,National Bank of Fujairah,5758.75,CAD,MT940,2021,Outgoing,Retail Payment,Europe,Middle East,MT,Completed,ACH
352,Industrial and Commercial Bank of China,RAK Bank,7895.6,USD,MT940,2017,Outgoing,Trade Finance,Middle East,Middle East,MT,Completed,SWIFT
353,Citibank,Bank of China,4435977.0,JPY,MT700,2022,Incoming,Loan Disbursement,Central Asia,Latin America,MT,Completed,ACH
354,HSBC,Dubai Islamic Bank,38809.66,EUR,MT910,2021,Outgoing,Retail Payment,Central Asia,Middle East,MT,Completed,Wire Transfer
355,First Abu Dhabi Bank,Abu Dhabi Commercial Bank,39573.69,USD,MT202,2017,Incoming,Interbank Settlement,Latin America,Middle East,MT,Completed,Wire Transfer
356,HSBC,Sharjah Islamic Bank,61505.41,EUR,MT940,2016,Outgoing,Interbank Settlement,Europe,Middle East,MT,Completed,Check
357,Barclays,Abu Dhabi Islamic Bank,17459.04,CHF,MT799,2015,Outgoing,Treasury Operations,Caribbean,Middle East,MT,Completed,Wire Transfer
358,Credit Suisse,Mashreq Bank,63013.51,USD,MT700,2022,Outgoing,Retail Payment,South Asia,Middle East,MT,Completed,SWIFT
359,Industrial and Commercial Bank of China,UBS,6241.32,GBP,MT910,2015,Incoming,Interbank Settlement,Middle East,Africa,MT,Failed,Wire Transfer
360,Mashreq Bank,Commercial Bank of Dubai,24862.59,EUR,MT760,2018,Outgoing,Retail Payment,Caribbean,Middle East,MT,Completed,ACH
361,Abu Dhabi Commercial Bank,Abu Dhabi Islamic Bank,50732.72,USD,MT103,2020,Outgoing,Trade Finance,North America,Middle East,MT,Completed,Wire Transfer
362,Wells Fargo,Commercial Bank of Dubai,273361.75,AED,MT940,2018,Incoming,Corporate Payment,Central Asia,Middle East,MT,Completed,Wire Transfer
363,Standard Chartered,National Bank of Umm Al Qaiwain,6077.36,USD,MT103,2016,Outgoing,Retail Payment,South Asia,Middle East,MT,Completed,Credit Card
364,Abu Dhabi Commercial Bank,Bank of America,119178.98,CHF,MT700,2021,Outgoing,Retail Payment,North America,Africa,MT,Completed,Cash
365,Abu Dhabi Commercial Bank,First Abu Dhabi Bank,27876.09,EUR,MT103,2023,Incoming,Retail Payment,South Asia,Middle East,MT,Pending,SWIFT
366,UBS,Abu Dhabi Islamic Bank,9189.92,USD,MT700,2023,Outgoing,Treasury Operations,North America,Middle East,MT,Completed,ACH
367,Emirates NBD,Emirates NBD,39996.72,USD,MT760,2020,Outgoing,Retail Payment,Africa,Middle East,MT,Completed,SWIFT
368,Standard Chartered,Commercial Bank of Dubai,27906.81,CAD,MT760,2020,Incoming,Trade Finance,Asia Pacific,Middle East,MT,Completed,ACH
369,Wells Fargo,First Abu Dhabi Bank,37721.36,AED,MT202,2023,Outgoing,Treasury Operations,Middle East,Middle East,MT,Pending,ACH
370,Bank of China,Credit Suisse,1764715.0,JPY,MT910,2020,Incoming,Investment,North America,Southeast Asia,MT,Completed,Wire Transfer
371,First Abu Dhabi Bank,Dubai Islamic Bank,60435.34,USD,MT700,2016,Incoming,Investment,Africa,Europe,MT,Failed,ACH
372,Bank of Tokyo-Mitsubishi UFJ,Commercial Bank of Dubai,14630.4,EUR,MT799,2023,Incoming,Retail Payment,Asia Pacific,Middle East,MT,Completed,SWIFT
